feature	shap	freq_by_label	freq_corpus	label_corpus_freq_ratio
.	1.467603236635331	571	2828	0.20190947666195191
drizzle	0.9643309265375137	0	1	0.0
?	0.931138057142673	0	73	0.0
tramp	0.8214768893667497	0	1	0.0
rested	0.7519919648766518	0	1	0.0
fect	0.7039001695811749	0	1	0.0
scan	0.6580624658381566	0	1	0.0
ravaged	0.6366384699940681	0	1	0.0
eld	0.6179879754781723	0	1	0.0
switched	0.5923137962818146	0	1	0.0
shuddered	0.5754103921353817	0	1	0.0
shiver	0.5422661602497101	0	1	0.0
sighed	0.5213646079646423	0	1	0.0
transported	0.5065736267133616	0	1	0.0
rooms	0.4903014302253723	0	1	0.0
!	0.48723411008658624	2	100	0.02
spoke	0.4836231102235615	0	1	0.0
reserve	0.47399136424064636	0	1	0.0
proceeded	0.4654601998627186	0	1	0.0
slight	0.4641138818114996	0	1	0.0
dri	0.46086461329832673	0	1	0.0
pivot	0.44576513580977917	1	1	1.0
enne	0.44443991035223007	0	1	0.0
complaints	0.4416704864706844	0	1	0.0
faces	0.43863801607464364	0	3	0.0
trans	0.4369780346751213	0	1	0.0
unable	0.42897359168364346	0	1	0.0
slowed	0.424082062890011	0	1	0.0
obstacle	0.4120783573453082	0	1	0.0
climbed	0.41079059964977205	0	2	0.0
tracks	0.40274158120155334	0	1	0.0
drifted	0.39947535707506177	0	2	0.0
ished	0.39408084005117416	0	1	0.0
settled	0.390017619356513	0	1	0.0
eli	0.3897144686197862	0	1	0.0
rattled	0.3895745128393173	0	1	0.0
fractured	0.38543943131298875	0	2	0.0
flicked	0.38011981546878815	0	2	0.0
ture	0.3786258026957512	0	1	0.0
transactions	0.3769228381497669	0	1	0.0
armor	0.3708561360836029	1	1	1.0
ward	0.3706822767853737	0	1	0.0
torch	0.368814617395401	0	1	0.0
erected	0.36826053261756897	0	1	0.0
jerked	0.357093320786953	1	1	1.0
fal	0.35677391668286873	1	1	1.0
decline	0.3548166584223509	2	2	1.0
nostrils	0.3546127788722515	1	1	1.0
steering	0.3520337366499007	0	1	0.0
â€œ	0.35090372296205413	0	3	0.0
